filepath,native_language,split,source_file,word_index,duration,unit_type
word_level\andhra_pradesh\Andhra_speaker (1195)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1195).wav,2,0.35,word
word_level\andhra_pradesh\Andhra_speaker (1195)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1195).wav,3,0.91,word
word_level\andhra_pradesh\Andhra_speaker (1363)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1363).wav,0,0.69,word
word_level\andhra_pradesh\Andhra_speaker (1363)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1363).wav,1,0.29,word
word_level\andhra_pradesh\Andhra_speaker (1363)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1363).wav,2,0.22,word
word_level\andhra_pradesh\Andhra_speaker (1363)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1363).wav,3,0.33,word
word_level\andhra_pradesh\Andhra_speaker (1363)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1363).wav,4,0.35,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,0,0.57,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,1,1.09,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,2,0.36,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,3,1.84,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,4,0.21,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word05.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,5,0.6,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word06.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,6,0.27,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word07.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,7,0.72,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word08.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,8,0.28,word
word_level\andhra_pradesh\Andhra_speaker (1052)_word09.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1052).wav,9,0.56,word
word_level\andhra_pradesh\Andhra_speaker (1098)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1098).wav,0,0.32,word
word_level\andhra_pradesh\Andhra_speaker (1098)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1098).wav,1,0.31,word
word_level\andhra_pradesh\Andhra_speaker (1098)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1098).wav,2,1.89,word
word_level\andhra_pradesh\Andhra_speaker (1098)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1098).wav,3,0.36,word
word_level\andhra_pradesh\Andhra_speaker (1285)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1285).wav,0,0.24,word
word_level\andhra_pradesh\Andhra_speaker (1285)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1285).wav,1,1.4,word
word_level\andhra_pradesh\Andhra_speaker (1285)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1285).wav,2,0.87,word
word_level\andhra_pradesh\Andhra_speaker (1285)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1285).wav,3,0.52,word
word_level\andhra_pradesh\Andhra_speaker (1422)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1422).wav,0,0.73,word
word_level\andhra_pradesh\Andhra_speaker (1422)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1422).wav,1,1.04,word
word_level\andhra_pradesh\Andhra_speaker (1422)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1422).wav,2,0.54,word
word_level\andhra_pradesh\Andhra_speaker (1422)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1422).wav,3,0.77,word
word_level\andhra_pradesh\Andhra_speaker (1021)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1021).wav,0,0.79,word
word_level\andhra_pradesh\Andhra_speaker (1021)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1021).wav,1,0.25,word
word_level\andhra_pradesh\Andhra_speaker (1021)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1021).wav,2,0.54,word
word_level\andhra_pradesh\Andhra_speaker (1004)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1004).wav,0,1.03,word
word_level\andhra_pradesh\Andhra_speaker (1004)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1004).wav,1,0.94,word
word_level\andhra_pradesh\Andhra_speaker (1004)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1004).wav,2,0.39,word
word_level\andhra_pradesh\Andhra_speaker (1406)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1406).wav,0,0.28,word
word_level\andhra_pradesh\Andhra_speaker (1406)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1406).wav,1,0.75,word
word_level\andhra_pradesh\Andhra_speaker (1406)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1406).wav,2,0.52,word
word_level\andhra_pradesh\Andhra_speaker (1406)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1406).wav,3,1.58,word
word_level\andhra_pradesh\Andhra_speaker (1439)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1439).wav,0,0.66,word
word_level\andhra_pradesh\Andhra_speaker (1439)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1439).wav,1,0.74,word
word_level\andhra_pradesh\Andhra_speaker (1439)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1439).wav,2,0.29,word
word_level\andhra_pradesh\Andhra_speaker (1439)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1439).wav,3,0.42,word
word_level\andhra_pradesh\Andhra_speaker (1439)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1439).wav,4,0.95,word
word_level\andhra_pradesh\Andhra_speaker (1104)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1104).wav,0,0.24,word
word_level\andhra_pradesh\Andhra_speaker (1104)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1104).wav,1,0.62,word
word_level\andhra_pradesh\Andhra_speaker (1104)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1104).wav,2,0.8,word
word_level\andhra_pradesh\Andhra_speaker (1104)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1104).wav,3,0.29,word
word_level\andhra_pradesh\Andhra_speaker (1104)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1104).wav,4,0.58,word
word_level\andhra_pradesh\Andhra_speaker (1104)_word05.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1104).wav,5,0.66,word
word_level\andhra_pradesh\Andhra_speaker (1100)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1100).wav,0,0.39,word
word_level\andhra_pradesh\Andhra_speaker (1100)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1100).wav,1,0.91,word
word_level\andhra_pradesh\Andhra_speaker (1100)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1100).wav,2,0.71,word
word_level\andhra_pradesh\Andhra_speaker (1100)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1100).wav,3,1.45,word
word_level\andhra_pradesh\Andhra_speaker (1100)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1100).wav,4,0.72,word
word_level\andhra_pradesh\Andhra_speaker (1156)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1156).wav,0,0.32,word
word_level\andhra_pradesh\Andhra_speaker (1156)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1156).wav,1,0.39,word
word_level\andhra_pradesh\Andhra_speaker (1156)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1156).wav,2,1.89,word
word_level\andhra_pradesh\Andhra_speaker (1334)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1334).wav,0,0.78,word
word_level\andhra_pradesh\Andhra_speaker (1334)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1334).wav,1,0.69,word
word_level\andhra_pradesh\Andhra_speaker (1334)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1334).wav,2,0.55,word
word_level\andhra_pradesh\Andhra_speaker (1334)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1334).wav,3,0.34,word
word_level\andhra_pradesh\Andhra_speaker (1161)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1161).wav,0,0.58,word
word_level\andhra_pradesh\Andhra_speaker (1161)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1161).wav,1,0.68,word
word_level\andhra_pradesh\Andhra_speaker (1161)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1161).wav,2,1.17,word
word_level\andhra_pradesh\Andhra_speaker (1128)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1128).wav,0,0.21,word
word_level\andhra_pradesh\Andhra_speaker (1128)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1128).wav,1,2.74,word
word_level\andhra_pradesh\Andhra_speaker (1128)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1128).wav,2,0.24,word
word_level\andhra_pradesh\Andhra_speaker (1330)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1330).wav,0,0.45,word
word_level\andhra_pradesh\Andhra_speaker (1330)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1330).wav,1,0.42,word
word_level\andhra_pradesh\Andhra_speaker (1330)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1330).wav,2,1.33,word
word_level\andhra_pradesh\Andhra_speaker (1174)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1174).wav,0,0.21,word
word_level\andhra_pradesh\Andhra_speaker (1174)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1174).wav,1,0.3,word
word_level\andhra_pradesh\Andhra_speaker (1174)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1174).wav,2,0.34,word
word_level\andhra_pradesh\Andhra_speaker (1174)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1174).wav,3,1.44,word
word_level\andhra_pradesh\Andhra_speaker (1362)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1362).wav,0,0.21,word
word_level\andhra_pradesh\Andhra_speaker (1362)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1362).wav,1,1.07,word
word_level\andhra_pradesh\Andhra_speaker (1362)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1362).wav,2,1.37,word
word_level\andhra_pradesh\Andhra_speaker (1407)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1407).wav,0,0.88,word
word_level\andhra_pradesh\Andhra_speaker (1407)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1407).wav,1,0.99,word
word_level\andhra_pradesh\Andhra_speaker (1407)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1407).wav,2,0.89,word
word_level\andhra_pradesh\Andhra_speaker (1407)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1407).wav,3,0.42,word
word_level\andhra_pradesh\Andhra_speaker (1407)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1407).wav,4,0.32,word
word_level\andhra_pradesh\Andhra_speaker (1407)_word05.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1407).wav,5,0.36,word
word_level\andhra_pradesh\Andhra_speaker (1125)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1125).wav,0,0.32,word
word_level\andhra_pradesh\Andhra_speaker (1125)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1125).wav,1,1.02,word
word_level\andhra_pradesh\Andhra_speaker (1125)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1125).wav,2,0.83,word
word_level\andhra_pradesh\Andhra_speaker (1125)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1125).wav,3,0.95,word
word_level\andhra_pradesh\Andhra_speaker (1327)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1327).wav,0,0.46,word
word_level\andhra_pradesh\Andhra_speaker (1327)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1327).wav,1,0.81,word
word_level\andhra_pradesh\Andhra_speaker (1327)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1327).wav,2,0.52,word
word_level\andhra_pradesh\Andhra_speaker (1327)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1327).wav,3,1.0,word
word_level\andhra_pradesh\Andhra_speaker (1059)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1059).wav,0,1.16,word
word_level\andhra_pradesh\Andhra_speaker (1059)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1059).wav,1,0.67,word
word_level\andhra_pradesh\Andhra_speaker (1059)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1059).wav,2,1.31,word
word_level\andhra_pradesh\Andhra_speaker (1188)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1188).wav,0,0.44,word
word_level\andhra_pradesh\Andhra_speaker (1188)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1188).wav,1,0.51,word
word_level\andhra_pradesh\Andhra_speaker (1188)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1188).wav,2,1.8,word
word_level\andhra_pradesh\Andhra_speaker (1188)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1188).wav,3,0.28,word
word_level\andhra_pradesh\Andhra_speaker (115)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (115).wav,0,0.46,word
word_level\andhra_pradesh\Andhra_speaker (115)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (115).wav,1,1.47,word
word_level\andhra_pradesh\Andhra_speaker (1442)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1442).wav,0,1.08,word
word_level\andhra_pradesh\Andhra_speaker (1442)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1442).wav,1,0.75,word
word_level\andhra_pradesh\Andhra_speaker (1442)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1442).wav,2,0.9,word
word_level\andhra_pradesh\Andhra_speaker (1336)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1336).wav,0,0.71,word
word_level\andhra_pradesh\Andhra_speaker (1336)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1336).wav,1,0.24,word
word_level\andhra_pradesh\Andhra_speaker (1336)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1336).wav,2,0.43,word
word_level\andhra_pradesh\Andhra_speaker (1336)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1336).wav,3,1.7,word
word_level\andhra_pradesh\Andhra_speaker (1359)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1359).wav,0,0.25,word
word_level\andhra_pradesh\Andhra_speaker (1359)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1359).wav,1,0.72,word
word_level\andhra_pradesh\Andhra_speaker (1359)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1359).wav,2,1.05,word
word_level\andhra_pradesh\Andhra_speaker (1243)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1243).wav,0,1.06,word
word_level\andhra_pradesh\Andhra_speaker (1243)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1243).wav,1,1.22,word
word_level\andhra_pradesh\Andhra_speaker (1243)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1243).wav,2,1.73,word
word_level\andhra_pradesh\Andhra_speaker (1097)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1097).wav,0,1.34,word
word_level\andhra_pradesh\Andhra_speaker (1097)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1097).wav,1,1.94,word
word_level\andhra_pradesh\Andhra_speaker (1097)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1097).wav,2,0.36,word
word_level\andhra_pradesh\Andhra_speaker (1097)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1097).wav,3,0.4,word
word_level\andhra_pradesh\Andhra_speaker (1097)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1097).wav,4,0.51,word
word_level\andhra_pradesh\Andhra_speaker (1221)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1221).wav,0,0.88,word
word_level\andhra_pradesh\Andhra_speaker (1221)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1221).wav,1,0.7,word
word_level\andhra_pradesh\Andhra_speaker (1221)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1221).wav,2,0.35,word
word_level\andhra_pradesh\Andhra_speaker (1129)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1129).wav,0,0.44,word
word_level\andhra_pradesh\Andhra_speaker (1129)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1129).wav,1,0.72,word
word_level\andhra_pradesh\Andhra_speaker (1129)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1129).wav,2,0.81,word
word_level\andhra_pradesh\Andhra_speaker (1129)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1129).wav,3,0.66,word
word_level\andhra_pradesh\Andhra_speaker (1081)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1081).wav,0,0.7,word
word_level\andhra_pradesh\Andhra_speaker (1081)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1081).wav,1,0.57,word
word_level\andhra_pradesh\Andhra_speaker (1081)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1081).wav,2,1.57,word
word_level\andhra_pradesh\Andhra_speaker (1135)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1135).wav,0,0.27,word
word_level\andhra_pradesh\Andhra_speaker (1135)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1135).wav,1,0.24,word
word_level\andhra_pradesh\Andhra_speaker (1135)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1135).wav,2,0.42,word
word_level\andhra_pradesh\Andhra_speaker (1135)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1135).wav,3,1.01,word
word_level\andhra_pradesh\Andhra_speaker (1135)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1135).wav,4,0.41,word
word_level\andhra_pradesh\Andhra_speaker (1329)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1329).wav,0,0.63,word
word_level\andhra_pradesh\Andhra_speaker (1329)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1329).wav,1,0.41,word
word_level\andhra_pradesh\Andhra_speaker (1329)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1329).wav,2,0.86,word
word_level\andhra_pradesh\Andhra_speaker (1419)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1419).wav,0,0.37,word
word_level\andhra_pradesh\Andhra_speaker (1419)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1419).wav,1,0.97,word
word_level\andhra_pradesh\Andhra_speaker (1419)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1419).wav,2,0.4,word
word_level\andhra_pradesh\Andhra_speaker (1419)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1419).wav,3,0.23,word
word_level\andhra_pradesh\Andhra_speaker (1419)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1419).wav,4,0.73,word
word_level\andhra_pradesh\Andhra_speaker (1073)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1073).wav,0,1.5,word
word_level\andhra_pradesh\Andhra_speaker (1073)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1073).wav,1,0.67,word
word_level\andhra_pradesh\Andhra_speaker (1073)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1073).wav,2,0.64,word
word_level\andhra_pradesh\Andhra_speaker (1147)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1147).wav,0,0.83,word
word_level\andhra_pradesh\Andhra_speaker (1147)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1147).wav,1,0.23,word
word_level\andhra_pradesh\Andhra_speaker (1147)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1147).wav,2,0.25,word
word_level\andhra_pradesh\Andhra_speaker (1147)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1147).wav,3,1.52,word
word_level\andhra_pradesh\Andhra_speaker (1145)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1145).wav,0,0.24,word
word_level\andhra_pradesh\Andhra_speaker (1145)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1145).wav,1,0.47,word
word_level\andhra_pradesh\Andhra_speaker (1145)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1145).wav,2,1.58,word
word_level\andhra_pradesh\Andhra_speaker (1145)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1145).wav,3,0.55,word
word_level\andhra_pradesh\Andhra_speaker (1178)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1178).wav,0,0.74,word
word_level\andhra_pradesh\Andhra_speaker (1178)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1178).wav,1,0.46,word
word_level\andhra_pradesh\Andhra_speaker (1178)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1178).wav,2,1.13,word
word_level\andhra_pradesh\Andhra_speaker (1178)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1178).wav,3,0.38,word
word_level\andhra_pradesh\Andhra_speaker (1178)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1178).wav,4,0.4,word
word_level\andhra_pradesh\Andhra_speaker (1178)_word05.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1178).wav,5,0.26,word
word_level\andhra_pradesh\Andhra_speaker (1065)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1065).wav,0,1.09,word
word_level\andhra_pradesh\Andhra_speaker (1065)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1065).wav,1,1.59,word
word_level\andhra_pradesh\Andhra_speaker (1065)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1065).wav,2,0.3,word
word_level\andhra_pradesh\Andhra_speaker (1065)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1065).wav,3,0.76,word
word_level\andhra_pradesh\Andhra_speaker (1065)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1065).wav,4,0.25,word
word_level\andhra_pradesh\Andhra_speaker (1429)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1429).wav,0,1.31,word
word_level\andhra_pradesh\Andhra_speaker (1429)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1429).wav,1,0.27,word
