filepath,filename,speaker_id,native_language,age_group,utterance_type,text,sampling_rate,split,duration
andhra_pradesh\Andhra_speaker (1076).wav,Andhra_speaker (1076).wav,andhra_pradesh_spk_0086,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1077).wav,Andhra_speaker (1077).wav,andhra_pradesh_spk_0087,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1078).wav,Andhra_speaker (1078).wav,andhra_pradesh_spk_0088,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1079).wav,Andhra_speaker (1079).wav,andhra_pradesh_spk_0089,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (108).wav,Andhra_speaker (108).wav,andhra_pradesh_spk_0090,andhra_pradesh,adult,read,,44100,train,2.24
andhra_pradesh\Andhra_speaker (1080).wav,Andhra_speaker (1080).wav,andhra_pradesh_spk_0091,andhra_pradesh,adult,read,,48000,train,5.8
andhra_pradesh\Andhra_speaker (1081).wav,Andhra_speaker (1081).wav,andhra_pradesh_spk_0092,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1082).wav,Andhra_speaker (1082).wav,andhra_pradesh_spk_0093,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1083).wav,Andhra_speaker (1083).wav,andhra_pradesh_spk_0094,andhra_pradesh,adult,read,,48000,train,14.2
andhra_pradesh\Andhra_speaker (1084).wav,Andhra_speaker (1084).wav,andhra_pradesh_spk_0095,andhra_pradesh,adult,read,,48000,train,4.4
andhra_pradesh\Andhra_speaker (1085).wav,Andhra_speaker (1085).wav,andhra_pradesh_spk_0096,andhra_pradesh,adult,read,,48000,train,0.8
andhra_pradesh\Andhra_speaker (1086).wav,Andhra_speaker (1086).wav,andhra_pradesh_spk_0097,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1087).wav,Andhra_speaker (1087).wav,andhra_pradesh_spk_0098,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1088).wav,Andhra_speaker (1088).wav,andhra_pradesh_spk_0099,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1089).wav,Andhra_speaker (1089).wav,andhra_pradesh_spk_0100,andhra_pradesh,adult,read,,48000,train,1.6
andhra_pradesh\Andhra_speaker (109).wav,Andhra_speaker (109).wav,andhra_pradesh_spk_0101,andhra_pradesh,adult,read,,44100,train,2.4
andhra_pradesh\Andhra_speaker (1090).wav,Andhra_speaker (1090).wav,andhra_pradesh_spk_0102,andhra_pradesh,adult,read,,48000,train,3.0
andhra_pradesh\Andhra_speaker (1091).wav,Andhra_speaker (1091).wav,andhra_pradesh_spk_0103,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1092).wav,Andhra_speaker (1092).wav,andhra_pradesh_spk_0104,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1093).wav,Andhra_speaker (1093).wav,andhra_pradesh_spk_0105,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1094).wav,Andhra_speaker (1094).wav,andhra_pradesh_spk_0106,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1095).wav,Andhra_speaker (1095).wav,andhra_pradesh_spk_0107,andhra_pradesh,adult,read,,48000,train,2.4
andhra_pradesh\Andhra_speaker (1096).wav,Andhra_speaker (1096).wav,andhra_pradesh_spk_0108,andhra_pradesh,adult,read,,48000,train,3.4
andhra_pradesh\Andhra_speaker (1097).wav,Andhra_speaker (1097).wav,andhra_pradesh_spk_0109,andhra_pradesh,adult,read,,48000,train,6.2
andhra_pradesh\Andhra_speaker (1098).wav,Andhra_speaker (1098).wav,andhra_pradesh_spk_0110,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1099).wav,Andhra_speaker (1099).wav,andhra_pradesh_spk_0111,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (11).wav,Andhra_speaker (11).wav,andhra_pradesh_spk_0112,andhra_pradesh,adult,read,,44100,train,2.44
andhra_pradesh\Andhra_speaker (110).wav,Andhra_speaker (110).wav,andhra_pradesh_spk_0113,andhra_pradesh,adult,read,,44100,train,1.9
andhra_pradesh\Andhra_speaker (1100).wav,Andhra_speaker (1100).wav,andhra_pradesh_spk_0114,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1101).wav,Andhra_speaker (1101).wav,andhra_pradesh_spk_0115,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1102).wav,Andhra_speaker (1102).wav,andhra_pradesh_spk_0116,andhra_pradesh,adult,read,,48000,train,6.4
andhra_pradesh\Andhra_speaker (1103).wav,Andhra_speaker (1103).wav,andhra_pradesh_spk_0117,andhra_pradesh,adult,read,,48000,train,3.6
andhra_pradesh\Andhra_speaker (1104).wav,Andhra_speaker (1104).wav,andhra_pradesh_spk_0118,andhra_pradesh,adult,read,,48000,train,6.0
andhra_pradesh\Andhra_speaker (1105).wav,Andhra_speaker (1105).wav,andhra_pradesh_spk_0119,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1106).wav,Andhra_speaker (1106).wav,andhra_pradesh_spk_0120,andhra_pradesh,adult,read,,48000,train,6.8
andhra_pradesh\Andhra_speaker (1107).wav,Andhra_speaker (1107).wav,andhra_pradesh_spk_0121,andhra_pradesh,adult,read,,48000,train,0.6
andhra_pradesh\Andhra_speaker (1108).wav,Andhra_speaker (1108).wav,andhra_pradesh_spk_0122,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1109).wav,Andhra_speaker (1109).wav,andhra_pradesh_spk_0123,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (111).wav,Andhra_speaker (111).wav,andhra_pradesh_spk_0124,andhra_pradesh,adult,read,,44100,train,2.6
andhra_pradesh\Andhra_speaker (1110).wav,Andhra_speaker (1110).wav,andhra_pradesh_spk_0125,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1111).wav,Andhra_speaker (1111).wav,andhra_pradesh_spk_0126,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1112).wav,Andhra_speaker (1112).wav,andhra_pradesh_spk_0127,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1113).wav,Andhra_speaker (1113).wav,andhra_pradesh_spk_0128,andhra_pradesh,adult,read,,48000,train,5.8
andhra_pradesh\Andhra_speaker (1114).wav,Andhra_speaker (1114).wav,andhra_pradesh_spk_0129,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1115).wav,Andhra_speaker (1115).wav,andhra_pradesh_spk_0130,andhra_pradesh,adult,read,,48000,train,5.8
andhra_pradesh\Andhra_speaker (1116).wav,Andhra_speaker (1116).wav,andhra_pradesh_spk_0131,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1117).wav,Andhra_speaker (1117).wav,andhra_pradesh_spk_0132,andhra_pradesh,adult,read,,48000,train,14.0
andhra_pradesh\Andhra_speaker (1118).wav,Andhra_speaker (1118).wav,andhra_pradesh_spk_0133,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1119).wav,Andhra_speaker (1119).wav,andhra_pradesh_spk_0134,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (112).wav,Andhra_speaker (112).wav,andhra_pradesh_spk_0135,andhra_pradesh,adult,read,,44100,train,3.06
andhra_pradesh\Andhra_speaker (1120).wav,Andhra_speaker (1120).wav,andhra_pradesh_spk_0136,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1121).wav,Andhra_speaker (1121).wav,andhra_pradesh_spk_0137,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1122).wav,Andhra_speaker (1122).wav,andhra_pradesh_spk_0138,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1123).wav,Andhra_speaker (1123).wav,andhra_pradesh_spk_0139,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1124).wav,Andhra_speaker (1124).wav,andhra_pradesh_spk_0140,andhra_pradesh,adult,read,,48000,train,0.6
andhra_pradesh\Andhra_speaker (1125).wav,Andhra_speaker (1125).wav,andhra_pradesh_spk_0141,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1126).wav,Andhra_speaker (1126).wav,andhra_pradesh_spk_0142,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1127).wav,Andhra_speaker (1127).wav,andhra_pradesh_spk_0143,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1128).wav,Andhra_speaker (1128).wav,andhra_pradesh_spk_0144,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1129).wav,Andhra_speaker (1129).wav,andhra_pradesh_spk_0145,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (113).wav,Andhra_speaker (113).wav,andhra_pradesh_spk_0146,andhra_pradesh,adult,read,,44100,train,2.46
andhra_pradesh\Andhra_speaker (1130).wav,Andhra_speaker (1130).wav,andhra_pradesh_spk_0147,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1131).wav,Andhra_speaker (1131).wav,andhra_pradesh_spk_0148,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1132).wav,Andhra_speaker (1132).wav,andhra_pradesh_spk_0149,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1133).wav,Andhra_speaker (1133).wav,andhra_pradesh_spk_0150,andhra_pradesh,adult,read,,48000,train,5.8
andhra_pradesh\Andhra_speaker (1134).wav,Andhra_speaker (1134).wav,andhra_pradesh_spk_0151,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1135).wav,Andhra_speaker (1135).wav,andhra_pradesh_spk_0152,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1136).wav,Andhra_speaker (1136).wav,andhra_pradesh_spk_0153,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1137).wav,Andhra_speaker (1137).wav,andhra_pradesh_spk_0154,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1138).wav,Andhra_speaker (1138).wav,andhra_pradesh_spk_0155,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1139).wav,Andhra_speaker (1139).wav,andhra_pradesh_spk_0156,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (114).wav,Andhra_speaker (114).wav,andhra_pradesh_spk_0157,andhra_pradesh,adult,read,,44100,train,3.18
andhra_pradesh\Andhra_speaker (1140).wav,Andhra_speaker (1140).wav,andhra_pradesh_spk_0158,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1141).wav,Andhra_speaker (1141).wav,andhra_pradesh_spk_0159,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1142).wav,Andhra_speaker (1142).wav,andhra_pradesh_spk_0160,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1143).wav,Andhra_speaker (1143).wav,andhra_pradesh_spk_0161,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1144).wav,Andhra_speaker (1144).wav,andhra_pradesh_spk_0162,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1145).wav,Andhra_speaker (1145).wav,andhra_pradesh_spk_0163,andhra_pradesh,adult,read,,48000,train,4.4
andhra_pradesh\Andhra_speaker (1146).wav,Andhra_speaker (1146).wav,andhra_pradesh_spk_0164,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1147).wav,Andhra_speaker (1147).wav,andhra_pradesh_spk_0165,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1148).wav,Andhra_speaker (1148).wav,andhra_pradesh_spk_0166,andhra_pradesh,adult,read,,48000,train,17.6
andhra_pradesh\Andhra_speaker (1149).wav,Andhra_speaker (1149).wav,andhra_pradesh_spk_0167,andhra_pradesh,adult,read,,48000,train,5.8
andhra_pradesh\Andhra_speaker (115).wav,Andhra_speaker (115).wav,andhra_pradesh_spk_0168,andhra_pradesh,adult,read,,44100,train,2.32
andhra_pradesh\Andhra_speaker (1150).wav,Andhra_speaker (1150).wav,andhra_pradesh_spk_0169,andhra_pradesh,adult,read,,48000,train,4.4
andhra_pradesh\Andhra_speaker (1151).wav,Andhra_speaker (1151).wav,andhra_pradesh_spk_0170,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1152).wav,Andhra_speaker (1152).wav,andhra_pradesh_spk_0171,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1153).wav,Andhra_speaker (1153).wav,andhra_pradesh_spk_0172,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1154).wav,Andhra_speaker (1154).wav,andhra_pradesh_spk_0173,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1155).wav,Andhra_speaker (1155).wav,andhra_pradesh_spk_0174,andhra_pradesh,adult,read,,48000,train,5.8
andhra_pradesh\Andhra_speaker (1156).wav,Andhra_speaker (1156).wav,andhra_pradesh_spk_0175,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1157).wav,Andhra_speaker (1157).wav,andhra_pradesh_spk_0176,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1158).wav,Andhra_speaker (1158).wav,andhra_pradesh_spk_0177,andhra_pradesh,adult,read,,48000,train,5.8
